sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
345,CC(=O)Oc1ccccc1C(=O)O,21,0,22,,<eos>,eos,<bos> C C ( = O ) O c 1 c c c c c 1 C ( = O ) O <eos> C s c C <eos> C <eos> C <eos> 1 C <eos> C 1 <eos> <eos> <eos> 1 O <eos> c 1 <eos> 2 c 1 <eos> O C <eos> ) c C ) n C C C <eos> 2 ) C H ) c 1 <eos> <eos> C <unk> C ] 2 1 ) 1 C C 3 ] <eos> C ( O ) C 1 <eos> 1 <unk> <eos> <eos> ) C <eos> <eos> O 1 <eos> = r # S <eos> <pad> [ C <eos> r 3 r = H ) <pad> 2 =,15 15 5 13 19 6 19 23 8 23 23 23 23 23 8 15 5 13 19 6 19,CC(=O)Oc1ccccc1C(=O)O,True,True,1,False,,180.16,1.31,63.6,1.0,3.0,2.0,0.5501,1.58,True,0.882,Strong candidate,False,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
140,NCCC(N)C(=O)N1CCCCC1,20,0,22,,<eos>,eos,<bos> N C C <unk> C ( N ) C ( = O ) N 1 C C C C C 1 <eos> C 1 <eos> <eos> 1 <eos> C <eos> <eos> <eos> <eos> C <eos> C <eos> C 1 <eos> O <eos> O C <eos> ) C ( F ) c ( C c c C O ) C ] C C ) <eos> H C C <eos> C O ) O ) ( C ( ) O ) 2 C <unk> C ) ) C 1 <eos> C 2 1 <unk> [ N <unk> C ] <eos> O 1 <eos> S o O 5 = n c <eos> # <pad> o 5 4 # ) n H S,18 15 15 3 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,NCCC(N)C(=O)N1CCCCC1,True,True,1,False,,185.27,-0.325,72.35,2.0,3.0,3.0,0.6324,2.5359,True,0.8785,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
239,O=C(C)NC(=O)NCCc1ccccc1,23,0,24,,<eos>,eos,<bos> O = C ( C ) N C ( = O ) N C C c 1 c c c c c 1 <eos> <eos> 1 <eos> <eos> <eos> C 1 <eos> <eos> 1 <eos> <eos> <eos> C <eos> 1 <eos> <eos> ] C c c <eos> C <unk> = c ) c C [ C <unk> c H ) C 2 <eos> C <unk> C C <eos> ( O ) C C O C O ) O ) C C <unk> ] ) [ C <unk> <eos> C <eos> C <unk> [ N <unk> 1 ] <eos> O 1 <eos> s H o 2 O 1 s O B O 3 <pad> F # r l = F,19 13 15 5 15 6 18 15 5 13 19 6 18 15 15 23 8 23 23 23 23 23 8,CC(=O)NC(=O)NCCc1ccccc1,True,True,1,True,,206.25,1.075,58.2,2.0,2.0,3.0,0.7769,1.6266,True,0.8763,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
940,O=c1Nc2cccsc2nc2ccccc21,23,0,24,,<eos>,eos,<bos> O = c 1 N c 2 c c c s c 2 n c 2 c c c c c 2 1 <eos> <eos> 1 <eos> C <eos> C 1 <eos> c 1 <eos> <eos> <eos> C 1 <eos> O <eos> N C <eos> c <eos> c ) c 2 c c c 1 <eos> ) c 3 ) <eos> 1 <eos> C 1 <eos> 2 1 ( 2 ) C ) O <unk> O C ( C ) C C <eos> ) ( C O <eos> 1 <eos> ] <unk> 2 H <unk> 1 2 <eos> O 1 <eos> o <eos> 4 5 B H ) 5 B F c # ] <eos> ) # = -,19 13 23 8 18 23 9 23 23 23 28 23 9 25 23 9 23 23 23 23 23 9 8,O=C1NC2=CC=CSC2=Nc2ccccc21,True,True,1,True,,228.28,2.604,41.46,1.0,3.0,0.0,0.7412,3.2588,True,0.8763,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
892,N#C[CH]1CSCN1C(=O)C(C)C1CCCC1,29,0,32,,<eos>,eos,<bos> N # C [ C <unk> <unk> H ] 1 C S C N 1 C ( = O ) C ( C ) C 1 C C C C 1 <eos> C C <eos> C <eos> C 1 1 O ) c 1 2 ( = O <eos> c C ) c c c ) C 2 ( C ) <eos> C <eos> ] C ) <eos> ) [ C [ C ] C ] 2 1 C O <unk> <unk> C O ) C ) C ] <eos> 1 <unk> <eos> N 1 C 2 <eos> O 1 <eos> <pad> c 5 O - o <pad> # ] c <pad> H l s 1 # 5 4,18 4 15 21 15 3 3 17 22 8 15 20 15 18 8 15 5 13 19 6 15 5 15 6 15 8 15 15 15 15 8,CC(C(=O)N1CSCC1C#N)C1CCCC1,True,True,1,True,,238.36,2.238,44.1,0.0,3.0,2.0,0.7408,3.6794,True,0.8762,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
360,CNCNc1ncnc2sc3c(c12)CCCC3,25,0,26,,<eos>,eos,<bos> C N C N c 1 n c n c 2 s c 3 c ( c 1 2 ) C C C C 3 <eos> c 1 c <eos> <eos> c 1 <eos> <eos> C C <eos> <eos> <eos> O <eos> <eos> C O ) O O ) C C 2 ) C c ) c C c C c <unk> ) C O <eos> <unk> c ] 2 1 C <eos> ( <unk> ( H 1 ( C <unk> O ) C ( O ) C 1 <eos> <unk> <unk> ] 2 1 C <eos> <eos> O 1 <eos> S ) F ] 5 O <eos> O l O ] F O # C 1 l ),15 18 15 18 23 8 25 23 25 23 9 28 23 10 23 5 23 8 9 6 15 15 15 15 10,CNCNc1ncnc2sc3c(c12)CCCC3,True,True,1,True,,248.35,2.159,49.84,2.0,5.0,3.0,0.8173,2.6872,True,0.8669,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
199,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1C,34,0,35,,<eos>,eos,<bos> C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c c 1 C <eos> n 1 C <eos> C 1 <eos> <eos> ) C <eos> <eos> c c 1 <eos> C 1 ) c c c <eos> c 1 c 1 <eos> <unk> [ C <unk> c c O <eos> <eos> ) ( C O C O = C [ C ] H ] 2 ) <eos> O <eos> 1 <unk> [ H ] <unk> ] <eos> O 1 <eos> F = <unk> o = 3 N <eos> F l C s F <pad> H 4 <unk> #,15 19 23 8 23 23 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 15 6 23 23 9 6 23 23 8 15,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1C,True,True,1,True,,291.37,3.113,55.4,1.0,3.0,4.0,0.9413,1.6185,True,0.8643,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
516,N[CH](C(=O)N1CCCC1)c1ccccc1,27,0,29,,<eos>,eos,<bos> N [ C <unk> H ] ( C ( = O ) N 1 C C C C 1 ) c 1 c c c c c 1 <eos> <eos> 1 <eos> C 1 <eos> C <eos> <eos> <eos> <eos> O <eos> O ) c 2 ( c c ) c c c c c ( F ) C ) <eos> C ) 1 <eos> ) 1 <eos> 2 ) 2 C C <eos> <eos> ( c 2 ) C C <unk> ] ) ( O <eos> <unk> C <eos> 1 <unk> [ <eos> <unk> C 2 <eos> O 1 <eos> r [ s = s o ] <eos> 2 5 B <unk> ] # ) B <unk> 4,18 21 15 3 17 22 5 15 5 13 19 6 18 8 15 15 15 15 8 6 23 8 23 23 23 23 23 8,NC(C(=O)N1CCCC1)c1ccccc1,True,True,1,True,,204.27,1.309,46.33,1.0,2.0,2.0,0.7891,2.1891,True,0.863,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
297,CNC(=O)Cc1cccc2ccccc12,22,0,23,,<eos>,eos,<bos> C N C ( = O ) C c 1 c c c c 2 c c c c c 1 2 <eos> c c 1 <eos> <eos> C 1 C O <eos> C C C <eos> C <eos> <eos> O <eos> C C C ) <eos> ( O ) C O ) C ( <eos> <eos> C ) C c 2 ) H 1 <eos> C 1 <eos> O ) C C <eos> C <unk> ) O ( C ( C O ) ] C <unk> <eos> 1 <eos> 1 <unk> 1 <eos> ) C ] <eos> O 1 <eos> ) F c <pad> c o [ S <unk> N ] n 4 r <pad> l # c,15 18 15 5 13 19 6 15 23 8 23 23 23 23 9 23 23 23 23 23 8 9,CNC(=O)Cc1cccc2ccccc12,True,True,1,True,,199.25,2.128,29.1,1.0,1.0,2.0,0.7883,1.5982,True,0.8629,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
572,CCC(C)C(N)C(=O)N1CCCCC1C,24,0,25,,<eos>,eos,<bos> C C C ( C ) C ( N ) C ( = O ) N 1 C C C C C 1 C <eos> <eos> C <eos> 1 <eos> C <eos> C C 1 <eos> <eos> C <eos> <eos> O = O ) N 2 <eos> ( ) C c ( ) C [ 1 <unk> H ] C ) C ) <unk> [ ] 2 ( = O ) C O <eos> C ( O <eos> ) C <unk> <unk> ] 1 2 F <eos> H ] 2 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> 5 o <pad> = - 1 n O 4 C c B ) N n B # ),15 15 15 5 15 6 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8 15,CCC(C)C(N)C(=O)N1CCCCC1C,True,True,1,True,,212.34,1.761,46.33,1.0,2.0,3.0,0.7746,3.047,True,0.8609,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
