sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,recommendation,is_novel_scorer_flag
11,COC(=O)cc1cccNNC(=O)Cc1ccc(2)cc1,32,0,33,,<eos>,eos,<bos> C O C ( = O ) c c 1 c c c N N C ( = O ) C c 1 c c c ( 2 ) c c 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> O 2 <eos> 1 <eos> <eos> 1 <eos> S # S s 1 l [ l 3 S # - c F 5 l c 3 c N o B ( S <unk> 1 C # o [ r O - = 4 N o # 1 3 O c r 3 1 o 4 H r s F ) S <eos> F S s <eos> O 4 S ) 5 <pad> B 2 5,15 19 15 5 13 19 6 23 23 8 23 23 23 18 18 15 5 13 19 6 15 23 8 23 23 23 5 9 6 23 23 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
12,CN(C)C(=O)c1ccc(C(=O)Nc2ccc(Cl)cc2)cc2)cc21,43,0,44,,<eos>,eos,<bos> C N ( C ) C ( = O ) c 1 c c c ( C ( = O ) N c 2 c c c ( C l ) c c 2 ) c c 2 ) c c 2 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> 5 <pad> [ S F <pad> F 4 r <eos> S 1 n c # s H s <eos> # F 2 ] ) # - r 2 B 5 4 O - l # 3 o # 2 n ] F r o # o 2 ( <unk> 1 3 4 ) B F H 1 C N 4 1 B ) C 3 l o,15 18 5 15 6 15 5 13 19 6 23 8 23 23 23 5 15 5 13 19 6 18 23 9 23 23 23 5 15 24 6 23 23 9 6 23 23 9 6 23 23 9 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
13,O=C(CCCc1cccc1)NC1cccccs1,25,0,26,,<eos>,eos,<bos> O = C ( C C C c 1 c c c c 1 ) N C 1 c c c c c s 1 <eos> c 1 1 <eos> <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> 1 <eos> <eos> <eos> <eos> c # O N 3 F 1 - H N <pad> O # B n # = B <pad> # O <unk> 1 4 F - 4 O c l 2 = n B o - 5 4 l N 5 F <unk> r 5 ( r C H o r H = r ) 4 3 <eos> C 1 ( F r s S 5 -,19 13 15 5 15 15 15 23 8 23 23 23 23 8 6 18 15 8 23 23 23 23 23 28 8,,False,False,0,True,long_repetitive_fragment,,,,,,,,,,,,
14,Cc1ccc(C2CCCCCNC(=O)c2ccc3c-c2cc3c32)c11,40,0,41,,<eos>,eos,<bos> C c 1 c c c ( C 2 C C C C C N C ( = O ) c 2 c c c 3 c - c 2 c c 3 c 3 2 ) c 1 1 <eos> n 1 <eos> 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> = c 1 B o # H <eos> N c l O 3 F ) n H = 3 1 = o 1 2 1 = 1 ( s 1 n B [ <eos> 2 C = S ] - H c <pad> 3 # ( = o n 4 [ <unk> 2 <eos> 4 1 4 ] 4 3 N l 5 1 ) <unk> l,15 23 8 23 23 23 5 15 9 15 15 15 15 15 18 15 5 13 19 6 23 9 23 23 23 10 23 7 23 9 23 23 10 23 10 9 6 23 8 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
15,COc1ccc(C)cc1NC(=O)C(O)cc2ccc(C,31,0,32,,<eos>,eos,<bos> C O c 1 c c c ( C ) c c 1 N C ( = O ) C ( O ) c c 2 c c c ( C <eos> ) c 1 <eos> <eos> c 1 <eos> <eos> <eos> <eos> <eos> H ] 1 <eos> <eos> <eos> <eos> <eos> l 4 l ( C # F <eos> <unk> ) s ] - l c l 4 <unk> [ r O N ) r O 4 ) ] <unk> [ n <pad> 5 C S N - o - N B l B = 5 O 3 <unk> r O o 2 <eos> n F N <eos> - ] ) <eos> ( s ( r = N,15 19 23 8 23 23 23 5 15 6 23 23 8 18 15 5 13 19 6 15 5 19 6 23 23 9 23 23 23 5 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
16,CN(CC1C)NCC(C(=O)c1ccc(-c2ccccc2C2)C1,37,0,38,,<eos>,eos,<bos> C N ( C C 1 C ) N C C ( C ( = O ) c 1 c c c ( - c 2 c c c c c 2 C 2 ) C 1 <eos> <eos> 1 <eos> O <eos> <eos> <eos> 1 <eos> 1 <eos> <eos> <eos> <eos> ) s <pad> O c - F H <unk> N l F 3 o ) [ F ) 4 5 <unk> - s <pad> 2 4 - S <unk> - ] B r 4 = 4 ) <eos> 5 <unk> ( <unk> N H S 4 o 3 ( = s B l <eos> 2 4 C n 5 3 # 2 ( c N S 4,15 18 5 15 15 8 15 6 18 15 15 5 15 5 13 19 6 23 8 23 23 23 5 7 23 9 23 23 23 23 23 9 15 9 6 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
17,O=C(NCc1cc2cncccc2F))c1ccccc21C)Cc1,35,0,36,,<eos>,eos,<bos> O = C ( N C c 1 c c 2 c n c c c c 2 F ) ) c 1 c c c c c 2 1 C ) C c 1 <eos> <eos> 1 <eos> C <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> C <eos> c 5 O F # B <pad> ) H o C H 3 c n <unk> c B 3 4 [ - 1 S 3 C ) = n <unk> n 2 S H 4 = ) c S N S = H ] # 4 r 1 l ) s - O ] o ( <eos> [ # r <unk> ) <eos> r 4 B c,19 13 15 5 18 15 23 8 23 23 9 23 25 23 23 23 23 9 16 6 6 23 8 23 23 23 23 23 9 8 15 6 15 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
18,CCCCNC(=O)C1c1ccccc2)cccc1C)cc1,31,0,32,,<eos>,eos,<bos> C C C C N C ( = O ) C 1 c 1 c c c c c 2 ) c c c c 1 C ) c c 1 <eos> c c 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> C <eos> <eos> <eos> C <eos> <eos> <eos> r = n <unk> C ] s n r ) B <unk> 4 l F N O H <unk> 3 o - N s 4 - [ S 1 = ] o l r [ 5 = o c [ # ] <unk> s S N - <unk> l 4 3 4 1 <eos> o ( <eos> O o ] C 3 H O 4 l ),15 15 15 15 18 15 5 13 19 6 15 8 23 8 23 23 23 23 23 9 6 23 23 23 23 8 15 6 23 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
19,CNCCNCCOC)CC)C(=O)cc1C(=O)cc1ccc(2(c)2,38,0,39,,<eos>,eos,<bos> C N C C N C C O C ) C C ) C ( = O ) c c 1 C ( = O ) c c 1 c c c ( 2 ( c ) 2 <eos> ) O C 2 <eos> c 1 <eos> <eos> c 1 <eos> <eos> 1 = N 1 c l 5 o 4 2 <pad> B # ( 3 # = 4 = ) l C = 1 s F 1 S # 1 H <unk> # 4 <pad> N = <eos> H C S = r 1 3 2 F 3 # l s o <pad> <eos> B ( O <eos> c C F c <pad> c O <eos> ),15 18 15 15 18 15 15 19 15 6 15 15 6 15 5 13 19 6 23 23 8 15 5 13 19 6 23 23 8 23 23 23 5 9 5 23 6 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
20,COC(=O)c1ccccc1NC(=O)c2[cH]c3cccc22)cc1,39,0,40,,<eos>,eos,<bos> C O C ( = O ) c 1 c c c c c 1 N C ( = O ) c 2 [ c H ] c 3 c c c c 2 2 ) c c 1 <eos> c 1 <eos> <eos> 1 <eos> <eos> c <eos> <eos> <eos> <eos> C # = ) <unk> H B ( o H C H 1 ) 1 l C <unk> F r l 2 o 4 c F r 4 <unk> ] - s 4 N ) # [ c # O <pad> B r c # 3 O s <unk> r C <unk> O ] 1 3 4 c C 4 S 4 H <pad> 4 c ),15 19 15 5 13 19 6 23 8 23 23 23 23 23 8 18 15 5 13 19 6 23 9 21 23 17 22 23 10 23 23 23 23 9 9 6 23 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
21,COc1ncccc1CNS(=O)(=O)c1ccccc1,29,0,30,,<eos>,eos,<bos> C O c 1 n c c c c 1 C N S ( = O ) ( = O ) c 1 c c c c c 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> O ) 2 <eos> 1 <eos> <eos> C <eos> 1 4 H <unk> F 1 F - [ 3 s S C B <pad> - 2 O ) <eos> H ( o ( ] 1 H S <unk> [ s r 5 = O ] ) 4 N ) r F r 3 # 4 <pad> 4 <eos> <pad> [ N <eos> l o ) 1 o = 3 o 5 1 # S <eos> 5,15 19 23 8 25 23 23 23 23 8 15 18 20 5 13 19 6 5 13 19 6 23 8 23 23 23 23 23 8,COc1ncccc1CNS(=O)(=O)c1ccccc1,True,True,1,True,,278.33,1.569,68.29,1.0,4.0,5.0,0.9011,1.841,True,0.9311,Strong candidate,True
22,Cc1ccccc1C(=O)Nc2ccc(-c2ccccc2)c1,33,0,34,,<eos>,eos,<bos> C c 1 c c c c c 1 C ( = O ) N c 2 c c c ( - c 2 c c c c c 2 ) c 1 <eos> <eos> 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> c <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> O B O - H # <pad> <eos> [ <unk> c r 4 B c ( N l ) 4 C 2 O <pad> = c 1 ( c F 4 2 n 4 N 4 n 4 ] H B c = O l 4 2 S <unk> <eos> F <pad> ( B N ) H <eos> <pad> 2 <unk> ) ( n 1 3 4,15 23 8 23 23 23 23 23 8 15 5 13 19 6 18 23 9 23 23 23 5 7 23 9 23 23 23 23 23 9 6 23 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
23,O=C(CN(c(=c2cc3cncccHCC)C))c1cccc(Cc)Cc),40,0,41,,<eos>,eos,<bos> O = C ( C N ( c ( = c 2 c c 3 c n c c c H C C ) C ) ) c 1 c c c c ( C c ) C c ) <eos> C c 1 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> c s 4 s C ) 3 ) N C 5 N l B 3 <eos> H B <unk> 5 n C c s # = [ = 2 = ( ) - l 4 ( 4 <eos> S ) s = 3 2 n ) 1 N <pad> # s o H ] # B 5 ( # n H = ] S H l ],19 13 15 5 15 18 5 23 5 13 23 9 23 23 10 23 25 23 23 23 17 15 15 6 15 6 6 23 8 23 23 23 23 5 15 23 6 15 23 6,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
24,CC(C)(C)=O)C(=O)c1ccc(F)cc1Cl,29,0,30,,<eos>,eos,<bos> C C ( C ) ( C ) = O ) C ( = O ) c 1 c c c ( F ) c c 1 C l <eos> c 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> 1 <eos> O <eos> <eos> 2 <eos> 1 <eos> <eos> 1 <eos> 4 l H <unk> O c O B ( S O 1 3 F 4 <eos> <unk> ] 1 <pad> ( 2 r S 5 s ) S n C ] l r s ] - n 4 ] C o S F C ] <unk> ( - ] o F s 2 O 1 4 <eos> F o N H 2 ( n - n #,15 15 5 15 6 5 15 6 13 19 6 15 5 13 19 6 23 8 23 23 23 5 16 6 23 23 8 15 24,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
25,COc1cc(CNc2c(-c3cnc(C)C)CC2)c1,30,0,31,,<eos>,eos,<bos> C O c 1 c c ( C N c 2 c ( - c 3 c n c ( C ) C ) C C 2 ) c 1 <eos> <eos> <eos> c 1 <eos> <eos> <eos> <eos> <eos> O <eos> <eos> c 1 <eos> <eos> c C <eos> <eos> <eos> 3 F = s # ) 1 o O c 3 = l <pad> N C ( N ] - [ 2 - <pad> 4 = n 5 r s n O l s # F 5 S C N 5 # n l - O F <pad> # N S C o N s [ <pad> <eos> l ] ) ] s B 1 l ],15 19 23 8 23 23 5 15 18 23 9 23 5 7 23 10 23 25 23 5 15 6 15 6 15 15 9 6 23 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
26,COc1ccc(-c2c1nc(-c3ccc[cH)c(=O)[cHcccc1,39,0,40,,<eos>,eos,<bos> C O c 1 c c c ( - c 2 c 1 n c ( - c 3 c c c [ c H ) c ( = O ) [ c H c c c c 1 <eos> <eos> c 1 <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> <eos> ] <pad> = s n H <pad> ( o <unk> <pad> O # c 5 # N B = <eos> O <pad> c <pad> O <unk> 1 <eos> C l n 2 O C # N 4 ( S N S c C 3 <pad> 4 [ r 1 o 2 <unk> = <eos> 2 H <eos> n <pad> 1 N ( <unk> <pad> 5 - c,15 19 23 8 23 23 23 5 7 23 9 23 8 25 23 5 7 23 10 23 23 23 21 23 17 6 23 5 13 19 6 21 23 17 23 23 23 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
27,Cc1cc(-c2cc(C(=O)NC3ccc(H]c3cccc(4)c3)cnc1c(n)o1,48,0,49,,<eos>,eos,<bos> C c 1 c c ( - c 2 c c ( C ( = O ) N C 3 c c c ( H ] c 3 c c c c ( 4 ) c 3 ) c n c 1 c ( n ) o 1 <eos> <eos> <eos> <eos> = O F S c [ B 5 n N c <unk> # s = c ] - O r O N ) <pad> H <unk> - 5 c F [ o - <eos> O ) 4 <eos> 3 c <pad> o N H n # S 4 c s 2 s F n B <eos> 3 ] [ <eos> C l 1 s 5 N r,15 23 8 23 23 5 7 23 9 23 23 5 15 5 13 19 6 18 15 10 23 23 23 5 17 22 23 10 23 23 23 23 5 11 6 23 10 6 23 25 23 8 23 5 25 6 26 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
28,Cc1ccnc(NC(=O)CC(C)C(=O)c1ccccs1,32,0,33,,<eos>,eos,<bos> C c 1 c c n c ( N C ( = O ) C C ( C ) C ( = O ) c 1 c c c c s 1 <eos> c 1 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> l c 4 1 # [ r ) ( 3 l 1 5 2 = c [ ( 2 4 H S B 2 N 4 S C = - n c n <unk> 2 N 3 <eos> S 4 2 H o 1 - O 5 4 r # 2 ) l <unk> F 5 H - N 2 s <pad> # ( C 5 l,15 23 8 23 23 25 23 5 18 15 5 13 19 6 15 15 5 15 6 15 5 13 19 6 23 8 23 23 23 23 28 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
29,O=C(Cn1c[cH]c(=O)N1H]c1CnCCc1c2ccccc2C,38,0,39,,<eos>,eos,<bos> O = C ( C n 1 c [ c H ] c ( = O ) N 1 H ] c 1 C n C C c 1 c 2 c c c c c 2 C <eos> 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> C <eos> 2 <eos> r c # ) H # o ) 2 r N O 3 # H s C <pad> H 2 n F o 4 = s S 1 r H ( 1 S B ] # 1 ] c N n <pad> N ] r o r 1 l s 3 ( <pad> ] = <eos> - B <pad> 3 ) <pad> H 1 ( l -,19 13 15 5 15 25 8 23 21 23 17 22 23 5 13 19 6 18 8 17 22 23 8 15 25 15 15 23 8 23 9 23 23 23 23 23 9 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
30,CC(C)Cc1ccnc(Cc21cccn2)c2cccc1,30,0,31,,<eos>,eos,<bos> C C ( C ) C c 1 c c n c ( C c 2 1 c c c n 2 ) c 2 c c c c 1 <eos> <eos> <eos> c 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> C <eos> c <eos> 1 <eos> <eos> C <eos> ) 2 o 1 5 H <pad> 1 C [ <unk> F 4 2 F r B H 4 <eos> r S r <pad> l <unk> r 4 <eos> <unk> o F o 3 B n # S o C 5 C H 3 o 4 ( = # = o l 2 5 o S H 3 ] <eos> s # ] = C l #,15 15 5 15 6 15 23 8 23 23 25 23 5 15 23 9 8 23 23 23 25 9 6 23 9 23 23 23 23 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
31,COc1ccc(C(=O)N2CCC(CC(=O)N(O)CCCC2)C1)Cc1,41,0,42,,<eos>,eos,<bos> C O c 1 c c c ( C ( = O ) N 2 C C C ( C C ( = O ) N ( O ) C C C C 2 ) C 1 ) C c 1 <eos> 1 <eos> 1 <eos> <eos> c <eos> <eos> <eos> <eos> N c F s O # B 5 S r = H S n 3 <eos> c 5 ] <eos> s 1 n = - 1 ) ( [ 1 l N 5 1 [ <pad> C 4 S n O <pad> o 2 C r C <eos> F [ 2 o n O ( <pad> <eos> 4 H <unk> 1 <pad> <unk> ] 5 [ #,15 19 23 8 23 23 23 5 15 5 13 19 6 18 9 15 15 15 5 15 15 5 13 19 6 18 5 19 6 15 15 15 15 9 6 15 8 6 15 23 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
32,O=C1cc(-c2cccoc2)c2c1CO)nc1cc1c2cnc2,36,0,37,,<eos>,eos,<bos> O = C 1 c c ( - c 2 c c c o c 2 ) c 2 c 1 C O ) n c 1 c c 1 c 2 c n c 2 <eos> c 1 <eos> <eos> <eos> 1 <eos> 1 <eos> <eos> <eos> C 1 C <eos> 1 4 2 <pad> 4 H o <eos> C 3 F - = l C = O <unk> r N = ( # 2 ( 4 N 1 C [ n B - o 4 o 5 c - <pad> 2 <pad> ( N 1 F S <unk> 2 ) C 5 n ) o ) 5 ) O r ) 5 1 C 3 s 3,19 13 15 8 23 23 5 7 23 9 23 23 23 26 23 9 6 23 9 23 8 15 19 6 25 23 8 23 23 8 23 9 23 25 23 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
33,N#Cc1ccc(CNC(CN(Cc2cnc(O)c(O)cO)c2)c1,37,0,38,,<eos>,eos,<bos> N # C c 1 c c c ( C N C ( C N ( C c 2 c n c ( O ) c ( O ) c O ) c 2 ) c 1 <eos> c 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> 1 <eos> B F 2 ) c = 3 l n <eos> c C N 2 5 ] F S O <unk> 5 S = <pad> F - 5 1 3 ( <unk> C n H 3 S 4 C <eos> 4 1 F = ) 1 ( <pad> 3 1 N l s S <eos> = r 5 # <unk> = 5 F <pad> 5 r l r,18 4 15 23 8 23 23 23 5 15 18 15 5 15 18 5 15 23 9 23 25 23 5 19 6 23 5 19 6 23 19 6 23 9 6 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
34,Cc1noc(C)c1NC(=O)C1CC(=O)Ncccccccc(c))c1c2,42,0,43,,<eos>,eos,<bos> C c 1 n o c ( C ) c 1 N C ( = O ) C 1 C C ( = O ) N c c c c c c c c ( c ) ) c 1 c 2 <eos> O <eos> <eos> 1 <eos> C 1 <eos> <eos> s <pad> 4 O <unk> N B <pad> ( s 4 r 3 ) C <eos> 2 s # ) - ] B ( # = N 4 2 ] l 4 o [ B 3 - c <pad> ) S l <unk> ( O 5 o - r ] c # F 2 1 l - n 2 H n 5 1 <pad> 4 5 O,15 23 8 25 26 23 5 15 6 23 8 18 15 5 13 19 6 15 8 15 15 5 13 19 6 18 23 23 23 23 23 23 23 23 5 23 6 6 23 8 23 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
