sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason
11,CNC(=O)cc1ccc1NCC=O))c1ccc(O)cc1,32,0,33,,<eos>,eos,<bos> C N C ( = O ) c c 1 c c c 1 N C C = O ) ) c 1 c c c ( O ) c c 1 <eos> <eos> c 1 <eos> <eos> l <eos> O <eos> O <eos> O ) C 2 <eos> O 1 C ( c C ) ) 1 c C <eos> C ) n 2 ) c 1 <eos> <eos> C ) <unk> <eos> <eos> ( C ) C C <unk> <unk> ] C ( O ) C 1 C 1 <unk> O <eos> 1 C <eos> <eos> O 1 <eos> s F H 5 <eos> F S s <eos> O 4 S ) 1 <pad> B 2 5,15 18 15 5 13 19 6 23 23 8 23 23 23 8 18 15 15 13 19 6 6 23 8 23 23 23 5 19 6 23 23 8,,False,False,0,False,unbalanced_parentheses
12,CN(C)C(=O)c1ccc(C(=O)Nc2ccc(Ol)c32)cCn)cc1C,43,0,44,,<eos>,eos,<bos> C N ( C ) C ( = O ) c 1 c c c ( C ( = O ) N c 2 c c c ( O l ) c 3 2 ) c C n ) c c 1 C <eos> C c ( O ) ( = 1 O <eos> C 3 C C C 3 3 ) C C 2 ) c 1 <eos> <eos> C <unk> O <eos> ) ( C ) C C <unk> <unk> ( C ( O ) C [ C <unk> <unk> ] 2 1 C <eos> <eos> O 1 <eos> 1 3 4 ) s F ] N o = ] S B <unk> C S <unk> o,15 18 5 15 6 15 5 13 19 6 23 8 23 23 23 5 15 5 13 19 6 18 23 9 23 23 23 5 19 24 6 23 10 9 6 23 15 25 6 23 23 8 15,,False,False,0,False,unbalanced_parentheses
13,O=C(NCCc1cccc1)NC1)ccccc2,25,0,26,,<eos>,eos,<bos> O = C ( N C C c 1 c c c c 1 ) N C 1 ) c c c c c 2 <eos> c 1 C <eos> <eos> 1 1 <eos> C <eos> <eos> = 1 <eos> O <eos> O ) 1 2 <eos> O = O c 1 O <eos> ) ] <unk> ) O ) <unk> 2 <eos> C 1 <eos> <eos> 1 = O ) C C <eos> <eos> ( O ) [ C <unk> <unk> ] 1 2 F <eos> ) 1 2 1 <unk> [ <eos> <unk> <unk> ] <eos> O 1 <eos> o 3 H = ] ) B 3 <eos> C c ( = H B 4 # -,19 13 15 5 18 15 15 23 8 23 23 23 23 8 6 18 15 8 6 23 23 23 23 23 9,,False,False,0,False,unbalanced_parentheses
14,Cc1ccc(C2C2CCNNC(=O)c3c2cc3cn2cc23c2ccn=O)1c,44,0,45,,<eos>,eos,<bos> C c 1 c c c ( C 2 C 2 C C N N C ( = O ) c 3 c 2 c c 3 c n 2 c c 2 3 c 2 c c n = O ) 1 c <eos> c c c ) <eos> c c <eos> c c O ) <eos> C ) <eos> [ C <eos> c ) c 1 <eos> <eos> C C <unk> O <unk> ( C ) C C <unk> <unk> ] 1 ( O ) C C <eos> C <unk> 2 C ] C 2 <eos> O 1 <eos> 4 [ <eos> 2 <eos> s <unk> 3 ] <unk> 3 B ] 5 ] C <unk> l,15 23 8 23 23 23 5 15 9 15 9 15 15 18 18 15 5 13 19 6 23 10 23 9 23 23 10 23 25 9 23 23 9 10 23 9 23 23 25 13 19 6 8 23,,False,False,0,False,ring_closure_mismatch
15,COc1ccc(C)c(CNC(=O)N(C)cc1ccc(C2)c1,35,0,36,,<eos>,eos,<bos> C O c 1 c c c ( C ) c ( C N C ( = O ) N ( C ) c c 1 c c c ( C 2 ) c 1 <eos> <eos> O 1 <eos> O <eos> ) = O <eos> 1 C <eos> C ) 2 ) c c 1 C <eos> <eos> C <eos> 2 ) 2 C ) c C <eos> <eos> 1 [ O <eos> <unk> ] 2 4 O C 3 <eos> ] 1 ( C ) C 1 <eos> 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> O o = <eos> n F N ( - ] ) s ( s 5 r = O,15 19 23 8 23 23 23 5 15 6 23 5 15 18 15 5 13 19 6 18 5 15 6 23 23 8 23 23 23 5 15 9 6 23 8,,False,False,0,False,unbalanced_parentheses
16,CCCCCNC=CCNC(=O)c1ccc(-c2ccccc2)2)=1,36,0,38,,<eos>,eos,<bos> C C C C C N <unk> C = C C N C ( = O ) c 1 c c c ( - c 2 c c c c c 2 ) 2 ) = 1 <eos> ) C <eos> O ) <eos> N 2 C 1 3 1 <eos> C c 3 ) c c ) 2 ) 1 1 <eos> <unk> C C <eos> 1 2 <eos> C O ) <eos> ) ( O ) [ C <unk> <unk> ] ) ( C ) C 1 <eos> <unk> <unk> [ 2 <unk> C <eos> <eos> O 1 <eos> = s O l O B H <unk> <eos> s 3 # 2 ( c N S c,15 15 15 15 15 18 3 15 13 15 15 18 15 5 13 19 6 23 8 23 23 23 5 7 23 9 23 23 23 23 23 9 6 9 6 13 8,,False,False,0,False,unbalanced_parentheses
17,O=C(NCc1ccs[cH]cco2)Nc1ccccc11C)Cc1,35,0,36,,<eos>,eos,<bos> O = C ( N C c 1 c c s [ c H ] c c o 2 ) N c 1 c c c c c 1 1 C ) C c 1 <eos> <eos> 1 1 c <eos> ) <eos> 1 <eos> C C 1 ) <eos> c 1 c c 1 ) O ) O 1 <eos> 2 ) <eos> 2 <eos> c 1 C ) C C ) O C ( C 1 C C ) <unk> <eos> C ( O ) C 1 C 1 <unk> ] <eos> 1 C <eos> <eos> O 1 <eos> ) s F O ] o 1 <eos> B F r <unk> ) <unk> r 4 B ),19 13 15 5 18 15 23 8 23 23 28 21 23 17 22 23 23 26 9 6 18 23 8 23 23 23 23 23 8 8 15 6 15 23 8,,False,False,0,False,unbalanced_parentheses
18,C=C(CC(=O)COc1cccc(c)c1)c1l)c1c,31,0,32,,<eos>,eos,<bos> C = C ( C C ( = O ) C O c 1 c c c c ( c ) c 1 ) c 1 l ) c 1 c <eos> <eos> c 1 <eos> <eos> <eos> 1 <eos> C <eos> ) C ) C ( c C ) c ( c C ) O C <eos> C ) C 2 ) C 1 C C 1 c ( O ) ) C 1 <eos> C 3 ) C ) C <eos> ) ] O ) c 1 C 3 <unk> O O ) C ] <eos> O 1 <eos> H [ <unk> 1 <eos> o [ <eos> O o ] C 3 H o # l #,15 13 15 5 15 15 5 13 19 6 15 19 23 8 23 23 23 23 5 23 6 23 8 6 23 8 24 6 23 8 23,,False,False,0,False,unbalanced_parentheses
19,CCCC(CC](C)C(=O)c1](=O)c21ccccc(ccc[cHC)c1,42,0,48,,<eos>,eos,<bos> C C C C ( C <unk> <unk> C ] ( C ) C ( = O ) c 1 <unk> ] ( = O ) c 2 1 c c c c c ( c c c [ c H C ) <unk> c 1 <unk> <eos> c C 1 C 1 <eos> 2 O C c <unk> = O ) <eos> 2 c 1 <eos> <unk> C O C ( = O ) O C 1 C O <unk> C H C ( O ) C C <eos> C <unk> 2 H ] 1 2 <eos> O 1 <eos> ] <eos> o O 5 F # O <eos> c C F ] <pad> O B <eos> ),15 15 15 15 5 15 3 3 15 22 5 15 6 15 5 13 19 6 23 8 3 22 5 13 19 6 23 9 8 23 23 23 23 23 5 23 23 23 21 23 17 15 6 3 23 8 3,,False,False,0,False,unbalanced_parentheses
20,C=C(=O)N1c1cc(NCC(=O)c1ccH-c3ccccc2)cc1,39,0,40,,<eos>,eos,<bos> C = C ( = O ) N 1 c 1 c c ( N C C ( = O ) c 1 c c H - c 3 c c c c c 2 ) c c 1 <eos> c 1 <eos> c 1 <eos> c c ) c c 1 ) c 1 ) c 1 <eos> 1 <eos> [ ) 2 ] ) c 1 <eos> C C <unk> <unk> ] <unk> 1 C 1 C C <unk> <unk> H ] ( O ) C [ C <unk> <unk> ] 2 1 C <eos> <eos> O 1 <eos> <unk> C <unk> <pad> # H 3 l 4 F n S 4 H <pad> S <unk> ),15 13 15 5 13 19 6 18 8 23 8 23 23 5 18 15 15 5 13 19 6 23 8 23 23 17 7 23 10 23 23 23 23 23 9 6 23 23 8,,False,False,0,False,ring_closure_mismatch
21,CCc1ccccc1C)C(=O)(=O)N1ccccc1C,30,0,31,,<eos>,eos,<bos> C C c 1 c c c c c 1 C ) C ( = O ) ( = O ) N 1 c c c c c 1 C <eos> C C 1 <eos> C <eos> <eos> <eos> C <eos> <eos> C O C 2 C 1 <eos> ) C 2 ) C ) C O ) c C 1 c <eos> <eos> C ) 1 <eos> = O <eos> C ) <eos> C ( ) ) [ C <unk> <unk> ] ) ( O ) C 1 C 1 <unk> ] <eos> 1 C <eos> <eos> O 1 <eos> <pad> [ N <eos> l o ) 1 o = 3 o H l r S <eos> 5,15 15 23 8 23 23 23 23 23 8 15 6 15 5 13 19 6 5 13 19 6 18 8 23 23 23 23 23 8 15,,False,False,0,False,unbalanced_parentheses
22,Cc1ccccc1C(=O)Nc2ccc(-c3ccccc2)c1,33,0,34,,<eos>,eos,<bos> C c 1 c c c c c 1 C ( = O ) N c 2 c c c ( - c 3 c c c c c 2 ) c 1 <eos> <eos> C <eos> C <eos> C 1 <eos> ) c C ) c 3 2 ) c 1 <eos> C c c <unk> ) 2 ) c 1 <eos> C [ C <unk> ] ( C ( C O C ) O C O [ C ) <unk> ] H ( 2 ) <eos> C <eos> ] <unk> <unk> H ] 1 2 <eos> O 1 <eos> F 2 <unk> 5 B 4 ) H <eos> <pad> 2 <unk> ) ( n 1 3 4,15 23 8 23 23 23 23 23 8 15 5 13 19 6 18 23 9 23 23 23 5 7 23 10 23 23 23 23 23 9 6 23 8,,False,False,0,False,ring_closure_mismatch
23,O=C(CN(c(cC2cccc[[cH]()NC)c1cccc(C(Cc(O)Cc1cO)c1cc)cc),54,0,56,,<eos>,eos,<bos> O = C ( C N ( c ( c C <unk> 2 c c c c [ [ c H ] ( ) N C ) c 1 c c c c ( C ( C c ( O ) C c 1 c O ) c 1 c c ) c c ) <eos> c ( <unk> ) <eos> ) <eos> C <eos> C <unk> <eos> ] 2 C <eos> = C ) O C 1 ( C C <unk> O ) ( O ) C C <eos> C <unk> 2 H ] C 2 <eos> O 1 <eos> # s <unk> H ] = B 5 ( # n H = ] S H - ),19 13 15 5 15 18 5 23 5 23 15 3 9 23 23 23 23 21 21 23 17 22 5 6 18 15 6 23 8 23 23 23 23 5 15 5 15 23 5 19 6 15 23 8 23 19 6 23 8 23 23 6 23 23 6,,False,False,0,False,unbalanced_parentheses
24,CC(C)(C)=O)C(=O)c1ccc(C)cc1,27,0,28,,<eos>,eos,<bos> C C ( C ) ( C ) = O ) C ( = O ) c 1 c c c ( C ) c c 1 <eos> C <eos> c C 1 <eos> <eos> C <eos> C <eos> 1 <eos> <eos> N ) <eos> ( C 2 ) O c F C F C c O c O ) C <eos> C <unk> C 1 C 1 <eos> O ) O C <eos> C ( ) ) [ C <unk> <unk> ] ) ( C ) C [ C 1 <unk> ] 2 1 C <eos> <eos> O 1 <eos> o O s 2 5 1 ( 5 <eos> o N H 2 [ n - n #,15 15 5 15 6 5 15 6 13 19 6 15 5 13 19 6 23 8 23 23 23 5 15 6 23 23 8,,False,False,0,False,unbalanced_parentheses
25,Clc1cc(C)c2c(c3ccnc(CcCC3=2),28,0,29,,<eos>,eos,<bos> C l c 1 c c ( C ) c 2 c ( c 3 c c n c ( C c C C 3 = 2 ) <eos> 1 1 <eos> c c 1 <eos> <eos> <eos> 1 <eos> O <eos> ) c 1 C ) <eos> 1 C c <eos> c C c <eos> c <eos> c <eos> c 1 <eos> <eos> C 1 O 1 <eos> <eos> ) <eos> C O <unk> O C ) C C ) C C ) ( C O C C <eos> C <unk> 2 O ) C 1 <eos> O 1 <eos> N S C o N s # H <eos> l ] ) ] s B 1 l ],15 24 23 8 23 23 5 15 6 23 9 23 5 23 10 23 23 25 23 5 15 23 15 15 10 13 9 6,,False,False,0,False,unbalanced_parentheses
26,COc1ccc(Cc2c1Cc(Cc3c2ccc3)c(=O)c3Hcccc1,39,0,40,,<eos>,eos,<bos> C O c 1 c c c ( C c 2 c 1 C c ( C c 3 c 2 c c c 3 ) c ( = O ) c 3 H c c c c 1 <eos> 1 <eos> C ) <eos> c ( 3 c C c 1 <eos> ) c c <eos> <eos> 2 ) c 2 <eos> C 2 <eos> <unk> 1 <eos> O <eos> C O C <unk> O ] O C O [ C <unk> ) ( 2 <eos> <eos> ] <eos> 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> O <eos> <unk> = <eos> 2 H <eos> r n [ N ( r <pad> 5 <unk> l,15 19 23 8 23 23 23 5 15 23 9 23 8 15 23 5 15 23 10 23 9 23 23 23 10 6 23 5 13 19 6 23 10 17 23 23 23 23 8,,False,False,0,False,unbalanced_parentheses
27,Cc1cc(-c2cc(c(CO)-c3ccc(H]c(c]c4c4)cn2cnn[2(C)]1,48,0,49,,<eos>,eos,<bos> C c 1 c c ( - c 2 c c ( c ( C O ) - c 3 c c c ( H ] c ( c ] c 4 c 4 ) c n 2 c n n [ 2 ( C ) ] 1 <eos> ) n [ <unk> H ] ) <eos> 2 2 ) [ <eos> <eos> <unk> ] <eos> C 1 <eos> O C [ C <unk> C ( O ) C C ) <unk> ] ) ] = <eos> ) 1 <eos> 3 <unk> O <eos> <unk> O ] <eos> O 1 <eos> r 2 s F n = 3 [ ( ) <eos> o l <unk> F 5 S o,15 23 8 23 23 5 7 23 9 23 23 5 23 5 15 19 6 7 23 10 23 23 23 5 17 22 23 5 23 22 23 11 23 11 6 23 25 9 23 25 25 21 9 5 15 6 22 8,,False,False,0,False,unbalanced_parentheses
28,Cc1cccc(NC(=O)NC(C)C(=O)c2cccs22)cc1,36,0,37,,<eos>,eos,<bos> C c 1 c c c c ( N C ( = O ) N C ( C ) C ( = O ) c 2 c c c s 2 2 ) c c 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> 1 <eos> <eos> 1 <eos> <eos> ) c C c c c 1 <eos> <eos> C ) c C ) <unk> <eos> C c c <eos> <eos> ( O O <eos> C ( C ) [ C <unk> <unk> ] ] ( C ) C 1 <eos> 1 <unk> [ 2 1 C <eos> <eos> O 1 <eos> # 2 <pad> l <unk> B c H n C 2 s <pad> n <eos> 5 2 l,15 23 8 23 23 23 23 5 18 15 5 13 19 6 18 15 5 15 6 15 5 13 19 6 23 9 23 23 23 28 9 9 6 23 23 8,,False,False,0,False,ring_closure_mismatch
29,O=C(Nc1c[cH]c(cl)c1C]1C1CC]2)c2c-c1-cncn1[nc]Ccc1ccNc2,54,0,56,,<eos>,eos,<bos> O = C ( N c 1 c [ c H ] c ( c l ) c 1 C ] 1 C 1 C C ] 2 ) c 2 c - c 1 - c n c n 1 [ n c ] C c c 1 c <unk> c N c 2 <eos> ) c <eos> ) <eos> ) <eos> C 1 <eos> ) 1 C ( C ) C O <unk> ] C 1 C O 3 <unk> <eos> c 1 2 ) C 1 C 3 <unk> O <eos> ] 1 2 <eos> O 1 <eos> ] - s <pad> ] 4 <eos> r B C 1 n 5 H 1 ( = -,19 13 15 5 18 23 8 23 21 23 17 22 23 5 23 24 6 23 8 15 22 8 15 8 15 15 22 9 6 23 9 23 7 23 8 7 23 25 23 25 8 21 25 23 22 15 23 23 8 23 3 23 18 23 9,,False,False,0,False,unbalanced_brackets
30,CN(C)Cc1ccnc(-c21cccn1)c3cccc1C,31,0,32,,<eos>,eos,<bos> C N ( C ) C c 1 c c n c ( - c 2 1 c c c n 1 ) c 3 c c c c 1 C <eos> c c 1 <eos> <eos> 1 1 <eos> <eos> 1 <eos> C <eos> c <eos> 1 <eos> C ) <eos> ) c ( 1 <eos> ) [ C c 2 <eos> <eos> C <unk> C C ( O ) O ) O ) = C 1 C C = <unk> <eos> ) ( C ) C 1 <eos> 1 <unk> ] <eos> ) C <eos> <eos> O 1 <eos> = o l H r o ] H 3 C <eos> s # ] = C 5 #,15 18 5 15 6 15 23 8 23 23 25 23 5 7 23 9 8 23 23 23 25 8 6 23 10 23 23 23 23 8 15,,False,False,0,False,ring_closure_mismatch
31,COc1ccc(C(=O)NCCCC=OCC=C)NCC)CCCCC)(1)O)(COC[=O)cccCc2,54,0,55,,<eos>,eos,<bos> C O c 1 c c c ( C ( = O ) N C C C C = O C C = C ) N C C ) C C C C C ) ( 1 ) O ) ( C O C [ = O ) c c c C c 2 <eos> ) c 1 <eos> C ) c C <eos> ) C 2 <eos> c 1 ( <eos> ) O C ) C ( <eos> O ) C C C ( C O ) C <eos> 1 <unk> <eos> H ] 1 2 <eos> O 1 <eos> F 2 o n = ( <pad> <eos> 4 H <unk> 1 <pad> <unk> 5 c l O,15 19 23 8 23 23 23 5 15 5 13 19 6 18 15 15 15 15 13 19 15 15 13 15 6 18 15 15 6 15 15 15 15 15 6 5 8 6 19 6 5 15 19 15 21 13 19 6 23 23 23 15 23 9,,False,False,0,False,unbalanced_parentheses
32,O=c1[c(-c2ccc(c2)cCCc1O)Cc1cc1ccccc2)c1=O)cO1,45,0,46,,<eos>,eos,<bos> O = c 1 [ c ( - c 2 c c c ( c 2 ) c C C c 1 O ) C c 1 c c 1 c c c c c 2 ) c 1 = O ) c O 1 <eos> ( <eos> c C c <eos> c c c 2 ) <eos> 3 ) <eos> 2 ) C 1 <eos> ) C <eos> ( ) O C <unk> <eos> ] C 1 O <eos> C O <eos> ] ( C O C 1 C C <unk> C O ) C 1 <eos> O 1 <eos> ) 4 <eos> n c o S 5 ) O r ) 5 <unk> C 3 2 3,19 13 23 8 21 23 5 7 23 9 23 23 23 5 23 9 6 23 15 15 23 8 19 6 15 23 8 23 23 8 23 23 23 23 23 9 6 23 8 13 19 6 23 19 8,,False,False,0,False,unbalanced_parentheses
33,C#Cc1ccc(C(=OCC(ccccnc(N)c=O)cO)cc)c1)cc(c)c1,45,0,46,,<eos>,eos,<bos> C # C c 1 c c c ( C ( = O C C ( c c c c n c ( N ) c = O ) c O ) c c ) c 1 ) c c ( c ) c 1 <eos> <eos> c 3 c 1 ) c C c <eos> c <eos> 1 ) <eos> C <eos> <unk> C C 1 <eos> ) <eos> ( C ) C C O C ( C O ) C ] C ( = C ) O <eos> 1 <unk> <eos> H ] 1 2 <eos> O 1 <eos> - l 1 <eos> = O [ 5 N <pad> = s F <pad> H o ] l,15 4 15 23 8 23 23 23 5 15 5 13 19 15 15 5 23 23 23 23 25 23 5 18 6 23 13 19 6 23 19 6 23 23 6 23 8 6 23 23 5 23 6 23 8,,False,False,0,False,unbalanced_parentheses
34,Cc1ncc(F)c(C(=O)N(C)(=O)Ncccccccc(c1)c4c)cOccccc1c)c3cCc1,57,0,59,,<eos>,eos,<bos> C c 1 n c c ( F ) c ( <unk> C ( = O ) N ( C ) ( = O ) N c c c c c c c c ( c 1 ) c 4 c ) c O c c c c c 1 c ) c 3 c C c 1 <eos> ) C 1 <eos> 2 c ) ) 1 <eos> <eos> C [ C O <eos> ] 2 ) C C <unk> <unk> H ] ( O ) C C C 1 <unk> ] 2 1 C <eos> <eos> O 1 <eos> ] c C # S [ l <eos> n ) 3 = 5 1 <pad> H 5 l,15 23 8 25 23 23 5 16 6 23 5 3 15 5 13 19 6 18 5 15 6 5 13 19 6 18 23 23 23 23 23 23 23 23 5 23 8 6 23 11 23 6 23 19 23 23 23 23 23 8 23 6 23 10 23 15 23 8,,False,False,0,False,unbalanced_parentheses
35,CC(=O)N(C)C(C)CO)C(CC(=O)NCCC),30,0,31,,<eos>,eos,<bos> C C ( = O ) N ( C ) C ( C ) C O ) C ( C C ( = O ) N C C C ) <eos> C O C C O ) C ( 1 O <eos> N C N ( C 2 N c C c O c ) C 3 C C C C ) C 3 ] C c <eos> C ] 1 O ) O C <unk> ) ] C <unk> 1 C ( C ( C ) <unk> H C 1 <unk> <eos> 2 1 C <eos> <eos> O 1 <eos> 2 <unk> # n O B n s c N r s H ( n <pad> ( N,15 15 5 13 19 6 18 5 15 6 15 5 15 6 15 19 6 15 5 15 15 5 13 19 6 18 15 15 15 6,,False,False,0,False,unbalanced_parentheses
