sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag
11,COc1ccc(c1CC[Nc]c3cc[cH]CCCCCCCC)C(O(CC[CH](C)C])C])C1Cc1c,58,0,59,,<eos>,eos,<bos> C O c 1 c c c ( c 1 C C [ N c ] c 3 c c [ c H ] C C C C C C C C ) C ( O ( C C [ C H ] ( C ) C ] ) C ] ) C 1 C c 1 c <eos> ) 1 c <eos> <eos> [ C <unk> <unk> c 2 ( C ) C <unk> ( ] ( C ) [ C = O ] C O <eos> 1 <eos> 1 <unk> [ N <unk> C ] <eos> O 1 <eos> 3 2 o 5 ] B 3 s O H ] s N r 2 o 4 S,15 19 23 8 23 23 23 5 23 8 15 15 21 18 23 22 23 10 23 23 21 23 17 22 15 15 15 15 15 15 15 15 6 15 5 19 5 15 15 21 15 17 22 5 15 6 15 22 6 15 22 6 15 8 15 23 8 23,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
12,O=C1Nc2ccccc(Cl)c1ccc(C)cc12C1cccc1c)c1,39,0,40,,<eos>,eos,<bos> O = C 1 N c 2 c c c c c ( C l ) c 1 c c c ( C ) c c 1 2 C 1 c c c c 1 c ) c 1 <eos> ] C C c O c <eos> c ) c c ) c <eos> 1 <eos> 1 <eos> <eos> ) <eos> c <eos> C <eos> C c 1 <eos> C 1 C C O ) ( C ( O C <unk> <unk> ] C ( C ) C C <eos> C <unk> 2 H ] 1 2 <eos> O 1 <eos> ) <eos> F <pad> n 5 B 5 F C <eos> r 4 = C ( # -,19 13 15 8 18 23 9 23 23 23 23 23 5 15 24 6 23 8 23 23 23 5 15 6 23 23 8 9 15 8 23 23 23 23 8 23 6 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
13,CS(=O)(=O)N1C[c1Cc(COc2ccc(O)cccccc23)c2)c12)C(N)=c,51,0,52,,<eos>,eos,<bos> C S ( = O ) ( = O ) N 1 C [ c 1 C c ( C O c 2 c c c ( O ) c c c c c c 2 3 ) c 2 ) c 1 2 ) C ( N ) = c <eos> C c ) N ) N C C C ) C 3 <unk> H ) C <eos> ( O 2 ) O C <eos> C ( C ] ) c C c ( C c C 1 C 3 = O <eos> ) C O <eos> O 1 <eos> ( 3 r l ) o ) C ] <pad> ) 2 l 3 = 4 l r,15 20 5 13 19 6 5 13 19 6 18 8 15 21 23 8 15 23 5 15 19 23 9 23 23 23 5 19 6 23 23 23 23 23 23 9 10 6 23 9 6 23 8 9 6 15 5 18 6 13 23,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
14,CN(C)COCN1cc(c(c1ccc(H])c()[(H]21c[c)c(N2c2c)(COCOC)CcC)C2)[C)C1,64,0,66,,<eos>,eos,<bos> C N ( C ) C O C N 1 c c ( c ( c 1 c c c ( H ] ) c ( <unk> ) [ ( H ] 2 1 c [ c ) c ( N 2 c 2 c ) ( C O C O C ) C c C ) C 2 ) [ C ) C 1 <eos> C 1 <eos> O ) O ( O ) <unk> C 1 C C 3 O <eos> ) ( C <unk> C ( <eos> C ) C <eos> ) C O ) O 1 <eos> s 4 - 2 <eos> # <eos> r - 1 C <pad> 4 <pad> s <pad> <unk> <pad>,15 18 5 15 6 15 19 15 18 8 23 23 5 23 5 23 8 23 23 23 5 17 22 6 23 5 3 6 21 5 17 22 9 8 23 21 23 6 23 5 18 9 23 9 23 6 5 15 19 15 19 15 6 15 23 15 6 15 9 6 21 15 6 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
15,COC1Cc2ccc(C2cC2CC(C(=O)NC1COCC1,32,0,33,,<eos>,eos,<bos> C O C 1 C c 2 c c c ( C 2 c C 2 C C ( C ( = O ) N C 1 C O C C 1 <eos> C c C <eos> <eos> c C O <eos> O C C ) O ) c c C <eos> c c c <unk> ) C 3 C <eos> ) c 1 ] <eos> ) <eos> <eos> O 1 C C O ) O C 1 C C ) O <eos> C ( C ) C 1 <eos> 1 <unk> 2 C <eos> 1 2 <eos> O 1 <eos> l o C = <unk> = <unk> <eos> - O ) 5 4 <eos> 1 <pad> 3 O,15 19 15 8 15 23 9 23 23 23 5 15 9 23 15 9 15 15 5 15 5 13 19 6 18 15 8 15 19 15 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
16,CC(=C)[(N)C(=O)cH]c(C[3[](]1)][[CH]C(C[H4H]C[CH](C)[CH](OC[C]C(H)O2)CC)C(=O)c1ccccc123=O,88,0,94,,<eos>,eos,<bos> C C ( = C ) [ ( N ) C ( = O ) c H ] c ( C [ 3 [ ] ( ] 1 ) ] [ [ C <unk> H ] C ( C [ <unk> H 4 H ] C [ C <unk> H ] ( C ) [ C <unk> H ] ( O C [ C <unk> ] C ( H ) O 2 ) C C ) C ( = O ) c 1 c c c c c 1 2 3 = O <eos> <unk> <unk> ] <eos> O 1 <eos> 5 s <unk> <pad> <eos> 2 O o n c O <pad> N ] ( r ) -,15 15 5 13 15 6 21 5 18 6 15 5 13 19 6 23 17 22 23 5 15 21 10 21 22 5 22 8 6 22 21 21 15 3 17 22 15 5 15 21 3 17 11 17 22 15 21 15 3 17 22 5 15 6 21 15 3 17 22 5 19 15 21 15 3 22 15 5 17 6 19 9 6 15 15 6 15 5 13 19 6 23 8 23 23 23 23 23 8 9 10 13 19,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
17,CCOC(=O)N1ccc(C(C1)N(C(=O)CCC)1O)cC1,36,0,38,,<eos>,eos,<bos> C C O C ( = O ) N 1 <unk> c c c ( C ( C 1 ) N ( C ( = O ) C C C ) 1 O ) c C 1 <eos> c 1 c 1 C ( C ( ) O <eos> O C O C c <unk> ) ] c ( O ) <eos> C H ] 1 c 1 <unk> <eos> ) O <eos> 1 <unk> ( 2 1 C C 3 = ( C ( O ) C C <eos> <unk> <unk> ] <eos> 1 C <eos> <eos> O 1 <eos> F c 5 4 N O ( <eos> 3 = <unk> F 5 H s # r c,15 15 19 15 5 13 19 6 18 8 3 23 23 23 5 15 5 15 8 6 18 5 15 5 13 19 6 15 15 15 6 8 19 6 23 15 8,,False,False,0,True,long_repetitive_fragment,,,,,,,,,,,,
18,CN(C(=O)O)c1ccc((Oc2ccccc2)c1,29,0,30,,<eos>,eos,<bos> C N ( C ( = O ) O ) c 1 c c c ( ( O c 2 c c c c c 2 ) c 1 <eos> <eos> 1 <eos> 1 <eos> <eos> C 1 <eos> <eos> O <eos> C <eos> C 1 <eos> ( C ) C ( O O 3 ) C c <unk> C c 2 ) C 2 ) C 1 = <eos> ) O ) <eos> <eos> ( ) 2 ) C ( = O ) [ O <unk> C 1 C 1 <unk> 1 O ) C ] <eos> O 1 <eos> = 3 c S <eos> o 1 <eos> o O ] S F H l S l #,15 18 5 15 5 13 19 6 19 6 23 8 23 23 23 5 5 19 23 9 23 23 23 23 23 9 6 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
19,CN(C)c1ccc(cN3c3cccccc3c2C(C(=O)=O)cc1cC(CcC4c1cC)C,51,0,52,,<eos>,eos,<bos> C N ( C ) c 1 c c c ( c N 3 c 3 c c c c c c 3 c 2 C ( C ( = O ) = O ) c c 1 c C ( C c C 4 c 1 c C ) C <eos> 1 <eos> 1 <unk> c c 2 <eos> c C [ c <unk> <eos> 2 C ( O ) C ) ( ) 1 C 1 C 2 = O <eos> ) C O <eos> ) 1 <eos> 1 <unk> [ <eos> <unk> C ] <eos> O 1 <eos> 1 r o - l = <eos> s o S H <pad> ) <eos> l O c #,15 18 5 15 6 23 8 23 23 23 5 23 18 10 23 10 23 23 23 23 23 23 10 23 9 15 5 15 5 13 19 6 13 19 6 23 23 8 23 15 5 15 23 15 11 23 8 23 15 6 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
20,N[CH](C(=O)N1CCSC1)[CH]1CC[CH](NS(=O)(=c)c2ccc(c(c2))C1,55,0,59,,<eos>,eos,<bos> N [ C <unk> H ] ( C ( = O ) N 1 C C S C 1 ) [ C <unk> H ] 1 C C [ C <unk> H ] ( N S ( = O ) ( = c ) c 2 c c c ( c ( c 2 ) ) C 1 <eos> ) C 1 c <eos> C C 1 <eos> c c 2 ) C 1 <eos> c c 2 ) C <unk> 1 <eos> ) C F <eos> ) C <eos> C <unk> [ O ) C O <eos> O 1 <eos> r 2 s F <eos> o c r S O [ <unk> 5 = # 4 H ),18 21 15 3 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 3 17 22 8 15 15 21 15 3 17 22 5 18 20 5 13 19 6 5 13 23 6 23 9 23 23 23 5 23 5 23 9 6 6 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
21,CC(C)(CCc1n[nH]c(c1C(Sc2cccc1F)C(C)O)=O2N,41,0,42,,<eos>,eos,<bos> C C ( C ) ( C C c 1 n [ n H ] c ( c 1 C ( S c 2 c c c c 1 F ) C ( C ) O ) = O 2 N <eos> O 1 <eos> H ] 3 C ) C O ) C ( = O ) O <unk> c <unk> 1 <eos> C <eos> c C C O C C O <eos> C ( ) 1 C C <unk> <unk> ( ) ( O ) C 1 <eos> <unk> <unk> ] <eos> 1 C <eos> <eos> O 1 <eos> l C r n ] 2 n 1 <eos> F 3 ( # r = S l c,15 15 5 15 6 5 15 15 23 8 25 21 25 17 22 23 5 23 8 15 5 20 23 9 23 23 23 23 8 16 6 15 5 15 6 19 6 13 19 9 18,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
22,Nc1ncnc2sc3c(c12)Cc1ccccc12),28,0,29,,<eos>,eos,<bos> N c 1 n c n c 2 s c 3 c ( c 1 2 ) C c 1 c c c c c 1 2 ) <eos> 1 1 <eos> <eos> c 1 2 <eos> 1 <eos> <eos> <eos> <eos> <eos> ) C N ) c ) <eos> 2 c ) c c 1 <eos> c c ) c <eos> 1 <eos> <eos> ] C <eos> C C ) C ) C C ] C ( C C ) <unk> C ) ( C ) C 1 <eos> 1 <unk> [ N ] 1 2 <eos> O 1 <eos> F S ) 5 s F # N c <pad> r 2 <unk> C B 4 B c,18 23 8 25 23 25 23 9 28 23 10 23 5 23 8 9 6 15 23 8 23 23 23 23 23 8 9 6,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
23,COc1ccc(Clcc1CCNCC)C)CC1,24,0,25,,<eos>,eos,<bos> C O c 1 c c c ( C l c c 1 C C N C C ) C ) C C 1 <eos> <eos> 1 <eos> 1 <eos> C <eos> <eos> 1 O <eos> <eos> C 1 <eos> O <eos> <eos> <eos> C <eos> 1 <eos> ) <eos> c 1 <eos> c c 3 <eos> ) 3 ) <eos> c ) <eos> ] ) c <eos> <eos> <eos> 1 C O <eos> <unk> ( 2 4 [ O <unk> <unk> ] C ( F O ) C <eos> 1 <unk> [ H <unk> <unk> ] <eos> O 1 <eos> # <eos> <unk> O <unk> O N c <eos> <pad> o s o <eos> C H 5 N,15 19 23 8 23 23 23 5 15 24 23 23 8 15 15 18 15 15 6 15 6 15 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
24,CCCCc1ccc((CCCCCN(O)c1)c1ccnc12,31,0,32,,<eos>,eos,<bos> C C C C c 1 c c c ( ( C C C C C N ( O ) c 1 ) c 1 c c n c 1 2 <eos> C 1 <eos> C <eos> C 1 <eos> <eos> <eos> C 1 <eos> ) C 1 <eos> O n 2 c c c = O c ( ) c 1 ) 1 <eos> <unk> C <eos> H O C O C <eos> <unk> ( C ) C C <unk> O <eos> ) ( C ) C 1 <eos> 1 <unk> ] 2 1 C <eos> <eos> O 1 <eos> = [ F 5 B o 5 <eos> B = <eos> H 4 s ) r 2 4,15 15 15 15 23 8 23 23 23 5 5 15 15 15 15 15 18 5 19 6 23 8 6 23 8 23 23 25 23 8 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
25,C=C(CC1cccccCN1C(=O)ccccc(N)C(=O))c1,36,0,37,,<eos>,eos,<bos> C = C ( C C 1 c c c c c C N 1 C ( = O ) c c c c c ( N ) C ( = O ) ) c 1 <eos> c 1 c O ) c 1 <eos> C c 1 = O ) N c c 1 <unk> <eos> <eos> ( 4 O <eos> c <eos> C 1 H 1 <eos> O ) C C ] <unk> 1 C 1 C <eos> C <unk> H ) ( O ) C 1 2 1 <unk> ] O ) C ] <eos> O 1 <eos> ) <eos> s S s 1 l s ] 2 <pad> 5 ) # ( 4 ] 5,15 13 15 5 15 15 8 23 23 23 23 23 15 18 8 15 5 13 19 6 23 23 23 23 23 5 18 6 15 5 13 19 6 6 23 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
26,CN(C)CC)(c1ccccc1)c1ccccc1,26,0,27,,<eos>,eos,<bos> C N ( C ) C C ) ( c 1 c c c c c 1 ) c 1 c c c c c 1 <eos> c 1 1 <eos> <eos> <eos> 1 1 <eos> C 1 <eos> <eos> <eos> <eos> <eos> 1 <eos> C <eos> C C C N <eos> ) C l ) C <eos> <unk> C c <eos> <eos> H C <eos> C 1 <unk> O ) C C [ C <unk> ) 1 C C ( = O ) ( O ) C 1 C 1 <unk> 1 <eos> ) C ] <eos> O 1 <eos> s 5 H 5 <eos> o ( N 3 c ] N = ] s C = s,15 18 5 15 6 15 15 6 5 23 8 23 23 23 23 23 8 6 23 8 23 23 23 23 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
27,O=C1cc2cccc(CN(CNCOCNO)c3ccc(Ol)c=C)[(=4)cOCN1,46,0,48,,<eos>,eos,<bos> O = C 1 c c 2 c c c c ( C <unk> N ( C N C O C N O ) c 3 c c c ( O l ) c = C ) [ ( = 4 ) c O C N 1 <eos> C <eos> n c ) c c C <eos> C <eos> C <eos> 1 <eos> 1 <unk> ] 1 <eos> C ( C ( C O <unk> C O ) C C <unk> C ] ) ( C ) C 1 <eos> C <unk> 2 H ] 1 2 <eos> O 1 <eos> <pad> 2 4 # r 1 N C ( 2 <eos> # ) 1 ) 4 s l,19 13 15 8 23 23 9 23 23 23 23 5 15 3 18 5 15 18 15 19 15 18 19 6 23 10 23 23 23 5 19 24 6 23 13 15 6 21 5 13 11 6 23 19 15 18 8,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
28,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc12,33,0,34,,<eos>,eos,<bos> C C O C ( = O ) N c 1 c c c ( N C c 2 c c c ( F ) c c 2 ) c c 1 2 <eos> C c 1 <eos> <eos> 1 <eos> <eos> O C O 1 <eos> c c c C C 1 C c ) c c c C O <eos> ) H C 1 <eos> ) <eos> <eos> 1 <eos> <unk> <eos> 3 ( F ) C C <unk> <unk> H C ( O ) C [ C <unk> <unk> ] 2 1 C <eos> <eos> O 1 <eos> 1 2 H l <eos> H [ H l n ] F <pad> # c s 5 (,15 15 19 15 5 13 19 6 18 23 8 23 23 23 5 18 15 23 9 23 23 23 5 16 6 23 23 9 6 23 23 8 9,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
29,NCC(C(=CC(C(=O)C1CC1,20,0,22,,<eos>,eos,<bos> N C C <unk> ( C ( = C C ( C ( = O ) C 1 C C 1 <eos> c 1 c c 1 C 1 1 <eos> <eos> c c 1 <eos> <eos> C 1 <eos> O <eos> N 1 <eos> c ( <eos> O c c ( c C c 2 c C C ) <eos> [ ) C ] C C 1 C O C O C O C O C ) C C <unk> C ] H ( 2 C <eos> C [ 1 <unk> 2 H ] 1 2 <eos> O 1 <eos> o 3 o S s ) 4 ( <eos> <pad> O ) l N o ( l #,18 15 15 3 5 15 5 13 15 15 5 15 5 13 19 6 15 8 15 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
30,CCC(C)[CH](N)C(=O)N1CCCCCHC1,28,0,31,,<eos>,eos,<bos> C C C ( C ) [ C <unk> H ] ( N ) C ( = O ) N 1 C C C C C <unk> H C 1 <eos> # 1 <eos> C <eos> <eos> <eos> C = O <eos> ] = O ) ( C <eos> C <unk> C ( = [ ) <unk> ( [ ( C ) C C [ C <unk> <unk> H ] 1 O C <unk> <unk> ( 2 4 O O 3 <unk> ] N ( C ) C ] 2 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> = H 4 = <eos> F n r <eos> O <eos> c N H 4 l c S,15 15 15 5 15 6 21 15 3 17 22 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 3 17 15 8,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
31,Cc1ccc(C(=O)N2c2c[H]((C#=))c3cCc)C(C)c()CNc(=))c2cCc2ccc,56,0,58,,<eos>,eos,<bos> C c 1 c c c ( C ( = O ) N 2 c 2 c [ <unk> H ] ( ( C # = ) ) c 3 c C c ) C ( C ) c ( ) C N c ( = ) ) c 2 c C c 2 c c c <eos> 1 c C 1 <eos> 2 C C <eos> 1 c ) 1 ) C O ) C ] ( C O C 1 C ] ( C O C C ( C <unk> = O ) C O <eos> O 1 <eos> 3 <unk> o 3 ] n 5 s <eos> S 5 4 5 H ] 5 H F,15 23 8 23 23 23 5 15 5 13 19 6 18 9 23 9 23 21 3 17 22 5 5 15 4 13 6 6 23 10 23 15 23 6 15 5 15 6 23 5 6 15 18 23 5 13 6 6 23 9 23 15 23 9 23 23 23,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
32,C#Cc1cccc(-c2ncnc3cc(OCcOC)C(CC(CO)c(c3CcCc(c)c)c,49,0,50,,<eos>,eos,<bos> C # C c 1 c c c c ( - c 2 n c n c 3 c c ( O C c O C ) C ( C C ( C O ) c ( c 3 C c C c ( c ) c ) c <eos> C ) 1 <eos> <eos> c 2 c 1 <eos> c 1 ] <eos> O <eos> 2 <unk> ] 1 ( C ) ( ) ) C 1 <eos> 2 C O <eos> ) C O <eos> <eos> 1 <eos> 1 <unk> [ N <unk> 1 ] <eos> O 1 <eos> N ] o - n ] 1 4 <eos> 1 N = <unk> B 2 o l #,15 4 15 23 8 23 23 23 23 5 7 23 9 25 23 25 23 10 23 23 5 19 15 23 19 15 6 15 5 15 15 5 15 19 6 23 5 23 10 15 23 15 23 5 23 6 23 6 23,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
